file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00695_0377_2268032_to_2270176,ངའི་ཨ་མའི་ལུས་དེ་ད་ལྟ་ལྷག་བསྡད་རྒྱོ་ངའི་ལུས་དེ་རེད།  ,nga'i a ma'i lus de da lta lhag bsdad rgyo nga'i lus de red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00695_0377_2268032_to_2270176.wav,STT_TT,3,53,2.144,wav16k/STT_TT00695_0377_2268032_to_2270176.wav,ངའི་ཨ་མའི་ལུས་དེ། ད་ལྟ་ལྷག་བསྡད་རྒྱོ་ངའི་ལུས་དེ་རེད།
STT_NS_M0288_0162_1166029_to_1168432,འོ་ནང་འདི་སྟོང་པ་འདི་ཨ་ནས་ཁྱོད་རང་ཆེད་དུ་རེད་དཱ་ཡོད་བ།  ,'o nang 'di stong pa 'di a nas khyod rang ched du red dA yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0288_0162_1166029_to_1168432.wav,STT_NS,3,56,2.403,wav16k/STT_NS_M0288_0162_1166029_to_1168432.wav,ཨོ་ནང་འདི་སྟོང་པ་དེ་ཨ་ནས་ཁྱོད་རང་ཆེད་དུ་རེད་ད་ཡོད་བ།
STT_NS_M0288_0164_1176826_to_1178893,ཨོ་སེམས་ཁྲལ་མ་བྱེད་ཨ། ད་ང་མགྱོགས་པོ་ད་ལྟ་སློབ་སྦྱོང་།  ,o sems khral ma byed a/_da nga mgyogs po da lta slob sbyong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0288_0164_1176826_to_1178893.wav,STT_NS,3,55,2.067,wav16k/STT_NS_M0288_0164_1176826_to_1178893.wav,ཨོ་སེམས་ཁྲལ་མ་བྱེད་ཨ། ད་ང་མགྱོགས་པོ་ད་ལྟ་སློབ་སྦྱོང་།
STT_NS_M0288_0163_1170870_to_1173064,ནང་དེར་བསྡད་ཆོག་རེད་ལབ་ནས་སྙིང་རྗེ་ངའི་ཨ་མ་ལགས་དང་པ་ལགས་ཀིས་ ,nang der bsdad chog red lab nas snying rje nga'i a ma lags dang pa lags kis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0288_0163_1170870_to_1173064.wav,STT_NS,3,61,2.194,wav16k/STT_NS_M0288_0163_1170870_to_1173064.wav,ནང་དེ་བསྡད་ཆོག་ཡོད་རེད་ལབ་ནས། སྙིང་རྗེ་ངའི་ཨ་མ་ལགས་དང་པ་ལགས་ཀིས།
STT_MV0460_0002_123116_to_132892,ལེགས་ལྡན་གྲོང་ལ་ཕྱིན་པ་མ་རེད་པེ། ཕྱིན་པ་ཡིན་རྒྱལ་པོ་མཆོག ཡིན་ནས་ང་ཚོ་ལེགས་ལྡན་གྲོང་ལ་མ་སླེབས་གོང་ལ། ལུམ་བྷི་ནཱའི་ཚལ་སླེབས་པ་ད་གར། ལུམ་བྷི་ནཱའི་ཚལ་ལ་གནས་ཚུལ་ག་རེ་ལྷག་སོང་།  ,legs ldan grong la phyin pa ma red pe/_phyin pa yin rgyal po mchog_yin nas nga tsho legs ldan grong la ma slebs gong la/_lum b+hi nA'i tshal slebs pa da gar/_lum b+hi nA'i tshal la gnas tshul ga re lhag song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0460_0002_123116_to_132892.wav,STT_MV,3,172,9.776,wav16k/STT_MV0460_0002_123116_to_132892.wav,ལེགས་ལྡན་གྲོང་ལ་ཕྱིན་པ་མ་རེད་པེ། ཕྱིན་པ་ཡིན་རྒྱལ་པོ་མཆོག ཡིན་ནས་ང་ཚོ་ལེགས་ལྡན་གྲོང་ལ་མ་སླེབས་གོང་ལ། ལུམ་བྷི་ནའི་ཚལ་ལ་སླེབས་པ་ད་གར ལུམ་བྷི་ནའི་ཚལ་ལ་གནས་ཚུལ་ག་རེ་ལྷག་སོང་།
STT_MV0460_0021_306419_to_313993,ངས་ཉིན་མཚན་མེད་པར་རེ་བསྒུགས་བྱས་པའི་བུ་དེ་སྐྱེས་སོང་། ངས་ཉིན་མཚན་མེད་པར་རེ་བསྒུགས་བྱས་པའི་བུ་དེ་སྐྱེས་སོང་།  ,ngas nyin mtshan med par re bsgugs byas pa'i bu de skyes song /_ngas nyin mtshan med par re bsgugs byas pa'i bu de skyes song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0460_0021_306419_to_313993.wav,STT_MV,3,109,7.574,wav16k/STT_MV0460_0021_306419_to_313993.wav,ངས་ཉིན་མཚན་མེད་པར་རེ་སྒུག་བྱས་པའི་བུ་དེ་སྐྱེས་སོང་། ངས་ཉིན་མཚན་མེད་པར་རེ་སྒུག་བྱས་པའི་བུ་དེ་སྐྱེས་སོང་།
STT_TT00695_0121_748853_to_751029,དེ་ལས་རྩ་ཆེ་བ་ཅིག་གི་སྐད་ཆ་ཡོད་མ་རེད། ང་ཚོ།  ,de las rtsa che ba cig gi skad cha yod ma red/_nga tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00695_0121_748853_to_751029.wav,STT_TT,3,45,2.176,wav16k/STT_TT00695_0121_748853_to_751029.wav,དེ་ལས་རྩ་ཆེ་བ་ཅིག་གི་སྐད་ཆ་ཡོད་མ་རེད། ང་ཚོ།
STT_NS_M0334_0410_2477363_to_2479735,ཨེ་ནས་མཉམ་དུ་ཏག་ཏག་ད་ཨམ་ཅོག་ནས་མར་ཁྲག་ཡང་ཐོན་གི་འདུག་ཡོད་བ།  ,e nas mnyam du tag tag da am cog nas mar khrag yang thon gi 'dug yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0334_0410_2477363_to_2479735.wav,STT_NS,3,61,2.372,wav16k/STT_NS_M0334_0410_2477363_to_2479735.wav,ཨེ་ནས་མཉམ་དུ་ཏག་ཏག་ད་ཨམ་ཅོག་ནས་མར་ཁྲེག་ཡང་ཐོན་གི་འདུག་ཡོད་བ།
STT_AB00185_0054_210247_to_212363,བྱང་ཆུབ་ཀྱི་སེམས་ལ་མྱོང་བ་ཐོན་པའམ་ ,byang chub kyi sems la myong ba thon pa'am _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00185_0054_210247_to_212363.wav,STT_AB,3,35,2.116,wav16k/STT_AB00185_0054_210247_to_212363.wav,བྱང་ཆུབ་ཀྱི་སེམས་ལ་མྱོང་བ་ཐོན་པའམ།
STT_PC0123_0021_187951_to_190191,ད་དོན་དངོས་ཐོག་ན་གསལ་འབྲེལ་དེ་ཚོ་ངོ་མ་མ་རེད།  ,da don dngos thog na gsal 'brel de tsho ngo ma ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0123_0021_187951_to_190191.wav,STT_PC,3,46,2.24,wav16k/STT_PC0123_0021_187951_to_190191.wav,ད་དོན་དངོས་ཐོག་ལ་གསར་འབྲེལ་དེ་ཚོ་ངོ་མ་མ་རེད།
